id	nama	kategori	deskripsi	harga	berat	gambar	badge
yona-crispy-nuggets	Yona Crispy Chicken Nuggets	nugget_sosis	Nugget ayam krispi renyah dari Yona, cocok untuk lauk dan camilan keluarga.	36000	500g	produk/yona-crispy-chicken-nuggets.webp	Terlaris
asimo-naget-ayam	Asimo Naget Ayam	nugget_sosis	Chicken nugget Asimo 500g, bertekstur lembut di dalam dan renyah di luar.	27000	500g	produk/asimo-naget-ayam.webp	
oye-klasik-naget	Oye Klasik Naget Ayam	nugget_sosis	Naget ayam klasik Oye, asli dagingnya mantab rasanya. Sudah dimasak, tinggal goreng.	30000	500g	produk/oye-klasik-naget-ayam.webp	
kanzler-crispy-stick	Kanzler Crispy Chicken Nugget Stick	nugget_sosis	Nugget ayam crispy bentuk stik dari Kanzler, extra meaty dengan bubble crumb premium.	45000	450g	produk/kanzler-crispy-chicken-nugget-stick.webp	Premium
hemato-naget-kombinasi	Hemato Naget Ayam Kombinasi Reguler	nugget_sosis	Naget ayam kombinasi reguler dari Hemato, pilihan hemat untuk keluarga.	25000	500g	produk/hemato-naget-ayam-kombinasi.webp	
richeese-naget-bubble	Richeese Factory Naget Ayam Bubble Crumb	nugget_sosis	Naget ayam crispy bubble crumb dari Richeese Factory, daging ayam pilihan harga ekonomis.	32000	450g	produk/richeese-naget-ayam-bubble-crumb.webp	Rekomendasi
salam-chicken-nugget	Salam Chicken Nugget	nugget_sosis	Naget ayam kombinasi dari PBS Salam, renyah dan gurih cocok untuk segala usia.	26000	500g	produk/salam-chicken-nugget.webp	
hemato-naget-ayam	Hemato Naget Ayam	nugget_sosis	Naget ayam klasik Hemato, renyah di luar lembut di dalam. Simpan beku -12\u00B0C.	28000	500g	produk/hemato-naget-ayam.webp	
fiesta-crispy-bubble	Fiesta Crispy Bubble	nugget_sosis	Naget ayam krispi bubble crumb dari Fiesta, extra meaty maximum crispiness.	38000	400g	produk/fiesta-crispy-bubble.webp	Terfavorit
fiesta-chicken-nugget	Fiesta Chicken Nugget	nugget_sosis	Naget ayam Fiesta signature recipe, extra meaty juicy inside. Siap masak.	37000	400g	produk/fiesta-chicken-nugget.webp	Terlaris
